2014-02-04T14:06:02 - SignalSource confirmed new parameters ...
2014-02-04T14:06:12 - Warning: CursorFeedbackTask::Process: process: 8.72816 9.7433.
2014-02-04T14:06:12 - Warning: CursorFeedbackTask::Process: process: 10.3395 11.845.
2014-02-04T14:06:12 - Warning: CursorFeedbackTask::Process: process: 13.8217 10.7456.
2014-02-04T14:06:13 - Warning: CursorFeedbackTask::Process: process: 18.7684 9.10745.
2014-02-04T14:06:13 - Warning: CursorFeedbackTask::Process: process: 23.1547 8.4306.
2014-02-04T14:06:13 - Warning: CursorFeedbackTask::Process: process: 19.3344 7.49832.
2014-02-04T14:06:13 - Warning: CursorFeedbackTask::Process: process: 21.6708 7.65317.
2014-02-04T14:06:13 - Warning: CursorFeedbackTask::Process: process: 19.54 7.21855.
2014-02-04T14:06:13 - Warning: CursorFeedbackTask::Process: process: 18.5836 9.34467.
2014-02-04T14:06:13 - Warning: CursorFeedbackTask::Process: process: 19.4839 9.51473.
2014-02-04T14:06:13 - Warning: CursorFeedbackTask::Process: process: 15.1298 9.36089.
2014-02-04T14:06:14 - Warning: CursorFeedbackTask::Process: process: 16.2744 9.1939.
2014-02-04T14:06:14 - Warning: CursorFeedbackTask::Process: process: 12.9448 7.80099.
2014-02-04T14:06:14 - Warning: CursorFeedbackTask::Process: process: 13.8505 6.73674.
2014-02-04T14:06:14 - Warning: CursorFeedbackTask::Process: process: 9.38983 6.65427.
2014-02-04T14:06:14 - Warning: CursorFeedbackTask::Process: process: 10.3878 5.29617.
2014-02-04T14:06:14 - Warning: CursorFeedbackTask::Process: process: 10.6617 5.47236.
2014-02-04T14:06:14 - Warning: CursorFeedbackTask::Process: process: 8.5728 6.02807.
2014-02-04T14:06:14 - Warning: CursorFeedbackTask::Process: process: 12.6783 7.12472.
2014-02-04T14:06:15 - Warning: CursorFeedbackTask::Process: process: 15.4213 7.72944.
2014-02-04T14:06:15 - Warning: CursorFeedbackTask::Process: process: 14.2319 9.68779.
2014-02-04T14:06:15 - Warning: CursorFeedbackTask::Process: process: 14.154 8.98798.
2014-02-04T14:06:15 - Warning: CursorFeedbackTask::Process: process: 17.2988 9.43753.
2014-02-04T14:06:15 - Warning: CursorFeedbackTask::Process: process: 13.7719 11.5374.
2014-02-04T14:06:15 - Warning: CursorFeedbackTask::Process: process: 13.3293 11.4498.
2014-02-04T14:06:15 - Warning: CursorFeedbackTask::Process: process: 17.194 11.2921.
2014-02-04T14:06:15 - Warning: CursorFeedbackTask::Process: process: 12.3677 10.8456.
2014-02-04T14:06:16 - Warning: CursorFeedbackTask::Process: process: 16.527 9.70198.
2014-02-04T14:06:16 - Warning: CursorFeedbackTask::Process: process: 19.678 7.69344.
2014-02-04T14:06:16 - Warning: CursorFeedbackTask::Process: process: 13.5699 8.4516.
2014-02-04T14:06:16 - Warning: CursorFeedbackTask::Process: process: 14.1335 9.55966.
