2014-02-04T13:50:11 - BCI2000 Started
2014-02-04T13:50:12 - Waiting for configuration ...
2014-02-04T13:50:12 - Waiting for configuration ...
2014-02-04T13:50:37 - Warning: CursorFeedbackTask::Process: process: 364.832 11.4239.
2014-02-04T13:50:38 - Warning: CursorFeedbackTask::Process: process: 259.425 12.8885.
2014-02-04T13:50:38 - Warning: CursorFeedbackTask::Process: process: 243.368 14.5973.
2014-02-04T13:50:38 - Warning: CursorFeedbackTask::Process: process: 253.832 15.5949.
2014-02-04T13:50:38 - Warning: CursorFeedbackTask::Process: process: 247.83 14.8755.
2014-02-04T13:50:38 - Warning: CursorFeedbackTask::Process: process: 192.151 12.9376.
2014-02-04T13:50:38 - Warning: CursorFeedbackTask::Process: process: 244.898 12.3414.
2014-02-04T13:50:38 - Warning: CursorFeedbackTask::Process: process: 215.885 12.486.
2014-02-04T13:50:38 - Warning: CursorFeedbackTask::Process: process: 768.421 21.3836.
2014-02-04T13:50:39 - Warning: CursorFeedbackTask::Process: process: 232.768 15.6433.
2014-02-04T13:50:39 - Warning: CursorFeedbackTask::Process: process: 360.393 15.3393.
2014-02-04T13:50:39 - Warning: CursorFeedbackTask::Process: process: 202.184 13.2057.
2014-02-04T13:50:39 - Warning: CursorFeedbackTask::Process: process: 964.77 11.5706.
2014-02-04T13:50:39 - Warning: CursorFeedbackTask::Process: process: 204.934 13.0473.
2014-02-04T13:50:39 - Warning: CursorFeedbackTask::Process: process: 313.723 16.2266.
2014-02-04T13:50:39 - Warning: CursorFeedbackTask::Process: process: 219.699 13.5544.
2014-02-04T13:50:39 - Warning: CursorFeedbackTask::Process: process: 594.403 13.7259.
2014-02-04T13:50:40 - Warning: CursorFeedbackTask::Process: process: 211.911 12.617.
2014-02-04T13:50:40 - Warning: CursorFeedbackTask::Process: process: 588.112 13.9194.
2014-02-04T13:50:40 - Operation suspended
2014-02-04T13:50:40 - Warning: CursorFeedbackTask::Process: process: 223.735 12.4458.
2014-02-04T13:50:40 - Warning: CursorFeedbackTask::Process: process: 253.577 13.2893.
