2014-02-04T13:46:42 - SignalProcessing confirmed new parameters ...
2014-02-04T13:46:46 - Warning: CursorFeedbackTask::Process: process: 115.784 82.297.
2014-02-04T13:46:46 - Warning: CursorFeedbackTask::Process: process: 111.383 79.2988.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 115.53 84.1122.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 107.329 85.2405.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 104.612 82.8642.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 102.997 79.5252.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 105.08 77.531.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 113.179 82.6103.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 116.63 84.7058.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 107.514 85.2708.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 94.577 68.1494.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 91.1765 69.0312.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 92.1187 65.369.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 90.9543 65.0437.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 90.9855 65.0044.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 95.7495 69.8435.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 97.1955 66.7585.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 97.5468 70.9045.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 109.615 83.3864.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 105.241 79.8383.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 106.131 86.1229.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 90.3057 87.6443.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 85.5524 87.0193.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 86.8505 88.3736.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 88.5776 91.494.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 88.9673 100.417.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 88.6262 102.378.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 63.0231 98.0591.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 61.9975 94.2369.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 62.6523 94.023.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 63.9636 89.5953.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 52.3408 77.1168.
2014-02-04T13:46:47 - Warning: CursorFeedbackTask::Process: process: 65.7245 87.4146.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 62.8061 79.2756.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 62.6882 73.0285.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 62.6786 71.327.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 74.7211 76.8639.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 80.0015 81.1151.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 78.478 82.0019.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 82.8556 82.0705.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 75.4207 78.6227.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 72.0133 71.659.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 80.0014 79.282.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 89.2206 97.3668.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 92.1793 108.838.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 98.8865 108.635.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 103.189 107.411.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 104.671 108.6.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 101.728 108.999.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 102.342 115.478.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 103.969 115.627.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 94.556 114.37.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 87.115 104.428.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 93.0734 102.749.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 88.1046 95.9957.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 102.552 129.779.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 104.789 131.732.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 114.665 135.248.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 107.706 123.328.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 112.678 121.334.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 108.406 123.62.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 104.328 123.849.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 112.406 126.38.
2014-02-04T13:46:48 - Warning: CursorFeedbackTask::Process: process: 121.142 134.849.
2014-02-04T13:46:49 - Warning: CursorFeedbackTask::Process: process: 124.293 134.241.
2014-02-04T13:46:49 - Warning: CursorFeedbackTask::Process: process: 127.175 135.284.
2014-02-04T13:46:49 - Warning: CursorFeedbackTask::Process: process: 126.455 134.307.
2014-02-04T13:46:49 - Warning: CursorFeedbackTask::Process: process: 125.857 137.482.
2014-02-04T13:46:49 - Warning: CursorFeedbackTask::Process: process: 122.652 138.963.
2014-02-04T13:46:49 - Warning: CursorFeedbackTask::Process: process: 125.254 138.427.
2014-02-04T13:46:49 - Warning: CursorFeedbackTask::Process: process: 132.779 116.024.
2014-02-04T13:46:49 - Warning: CursorFeedbackTask::Process: process: 137.23 106.349.
2014-02-04T13:46:49 - Warning: CursorFeedbackTask::Process: process: 118.603 89.768.
2014-02-04T13:46:49 - Warning: CursorFeedbackTask::Process: process: 117.047 79.4775.
2014-02-04T13:46:49 - Warning: CursorFeedbackTask::Process: process: 113.386 77.7098.
2014-02-04T13:46:49 - Warning: CursorFeedbackTask::Process: process: 111.855 74.8719.
2014-02-04T13:46:49 - Warning: CursorFeedbackTask::Process: process: 122.086 82.7694.
2014-02-04T13:46:49 - Warning: CursorFeedbackTask::Process: process: 115.332 88.4275.
2014-02-04T13:46:49 - Warning: CursorFeedbackTask::Process: process: 113.06 103.751.
2014-02-04T13:46:49 - Warning: CursorFeedbackTask::Process: process: 108.885 120.402.
2014-02-04T13:46:49 - Warning: CursorFeedbackTask::Process: process: 123.396 106.879.
2014-02-04T13:46:49 - Warning: CursorFeedbackTask::Process: process: 123.903 105.447.
2014-02-04T13:46:49 - Warning: CursorFeedbackTask::Process: process: 124.216 104.111.
2014-02-04T13:46:49 - Warning: CursorFeedbackTask::Process: process: 128.2 105.389.
2014-02-04T13:46:49 - Warning: CursorFeedbackTask::Process: process: 129.929 105.437.
2014-02-04T13:46:49 - Warning: CursorFeedbackTask::Process: process: 107.772 106.281.
2014-02-04T13:46:49 - Warning: CursorFeedbackTask::Process: process: 95.1675 112.294.
2014-02-04T13:46:49 - Warning: CursorFeedbackTask::Process: process: 93.9791 108.964.
2014-02-04T13:46:49 - Warning: CursorFeedbackTask::Process: process: 98.4843 108.746.
2014-02-04T13:46:49 - Warning: CursorFeedbackTask::Process: process: 96.5344 99.1418.
2014-02-04T13:46:49 - Warning: CursorFeedbackTask::Process: process: 98.7791 100.064.
2014-02-04T13:46:49 - Warning: CursorFeedbackTask::Process: process: 92.0225 91.9062.
2014-02-04T13:46:49 - Warning: CursorFeedbackTask::Process: process: 93.5893 79.9414.
2014-02-04T13:46:49 - Warning: CursorFeedbackTask::Process: process: 91.4759 65.7913.
2014-02-04T13:46:49 - Warning: CursorFeedbackTask::Process: process: 83.4956 58.1084.
2014-02-04T13:46:50 - Warning: CursorFeedbackTask::Process: process: 96.6363 68.4102.
2014-02-04T13:46:50 - Warning: CursorFeedbackTask::Process: process: 95.3683 65.5489.
2014-02-04T13:46:50 - Warning: CursorFeedbackTask::Process: process: 101.81 65.1063.
2014-02-04T13:46:50 - Warning: CursorFeedbackTask::Process: process: 100.384 63.3472.
2014-02-04T13:46:50 - Warning: CursorFeedbackTask::Process: process: 97.0695 62.836.
2014-02-04T13:46:50 - Warning: CursorFeedbackTask::Process: process: 96.7233 63.27.
2014-02-04T13:46:50 - Warning: CursorFeedbackTask::Process: process: 103.962 68.7102.
2014-02-04T13:46:50 - Warning: CursorFeedbackTask::Process: process: 106.068 69.1088.
2014-02-04T13:46:50 - Warning: CursorFeedbackTask::Process: process: 110.309 69.8411.
2014-02-04T13:46:50 - Warning: CursorFeedbackTask::Process: process: 111.377 69.923.
2014-02-04T13:46:50 - Warning: CursorFeedbackTask::Process: process: 109.463 69.7565.
2014-02-04T13:46:50 - Warning: CursorFeedbackTask::Process: process: 118.191 74.8229.
2014-02-04T13:46:50 - Warning: CursorFeedbackTask::Process: process: 120.25 74.6934.
2014-02-04T13:46:50 - Warning: CursorFeedbackTask::Process: process: 114.794 74.4873.
2014-02-04T13:46:50 - Warning: CursorFeedbackTask::Process: process: 107.831 70.3791.
2014-02-04T13:46:50 - Warning: CursorFeedbackTask::Process: process: 100.38 65.4253.
2014-02-04T13:46:50 - Warning: CursorFeedbackTask::Process: process: 96.9127 61.9992.
2014-02-04T13:46:50 - Warning: CursorFeedbackTask::Process: process: 108.161 78.2169.
2014-02-04T13:46:50 - Warning: CursorFeedbackTask::Process: process: 98.15 75.0096.
2014-02-04T13:46:50 - Warning: CursorFeedbackTask::Process: process: 102.182 78.127.
2014-02-04T13:46:50 - Warning: CursorFeedbackTask::Process: process: 102.857 79.1675.
2014-02-04T13:46:50 - Warning: CursorFeedbackTask::Process: process: 145.859 117.705.
2014-02-04T13:46:50 - Warning: CursorFeedbackTask::Process: process: 141.256 113.67.
2014-02-04T13:46:50 - Warning: CursorFeedbackTask::Process: process: 138.024 113.132.
2014-02-04T13:46:50 - Warning: CursorFeedbackTask::Process: process: 139.884 114.485.
2014-02-04T13:46:50 - Warning: CursorFeedbackTask::Process: process: 138.332 112.867.
2014-02-04T13:46:50 - Warning: CursorFeedbackTask::Process: process: 133.499 108.454.
2014-02-04T13:46:50 - Warning: CursorFeedbackTask::Process: process: 148.523 118.675.
2014-02-04T13:46:50 - Warning: CursorFeedbackTask::Process: process: 148.64 120.4.
2014-02-04T13:46:50 - Warning: CursorFeedbackTask::Process: process: 145.808 117.373.
2014-02-04T13:46:50 - Warning: CursorFeedbackTask::Process: process: 141.247 117.428.
2014-02-04T13:46:51 - Warning: CursorFeedbackTask::Process: process: 128.293 109.469.
2014-02-04T13:46:51 - Warning: CursorFeedbackTask::Process: process: 153.093 115.875.
2014-02-04T13:46:51 - Warning: CursorFeedbackTask::Process: process: 170.547 137.993.
2014-02-04T13:46:51 - Warning: CursorFeedbackTask::Process: process: 182.78 128.119.
2014-02-04T13:46:51 - Warning: CursorFeedbackTask::Process: process: 175.057 116.738.
2014-02-04T13:46:51 - Warning: CursorFeedbackTask::Process: process: 149.201 95.7487.
2014-02-04T13:46:51 - Warning: CursorFeedbackTask::Process: process: 152.736 97.1044.
2014-02-04T13:46:51 - Warning: CursorFeedbackTask::Process: process: 162.235 100.397.
2014-02-04T13:46:51 - Warning: CursorFeedbackTask::Process: process: 166.449 104.335.
2014-02-04T13:46:51 - Warning: CursorFeedbackTask::Process: process: 170.893 105.364.
2014-02-04T13:46:51 - Warning: CursorFeedbackTask::Process: process: 184.45 103.977.
2014-02-04T13:46:51 - Warning: CursorFeedbackTask::Process: process: 167.097 95.9265.
2014-02-04T13:46:51 - Warning: CursorFeedbackTask::Process: process: 164.644 95.471.
2014-02-04T13:46:51 - Warning: CursorFeedbackTask::Process: process: 167.72 96.252.
2014-02-04T13:46:51 - Warning: CursorFeedbackTask::Process: process: 178.104 100.956.
2014-02-04T13:46:51 - Warning: CursorFeedbackTask::Process: process: 193.018 101.088.
2014-02-04T13:46:51 - Warning: CursorFeedbackTask::Process: process: 161.644 105.394.
2014-02-04T13:46:51 - Warning: CursorFeedbackTask::Process: process: 136.878 82.7031.
2014-02-04T13:46:51 - Warning: CursorFeedbackTask::Process: process: 112.674 96.8677.
2014-02-04T13:46:51 - Warning: CursorFeedbackTask::Process: process: 71.9641 110.809.
2014-02-04T13:46:51 - Warning: CursorFeedbackTask::Process: process: 72.2386 110.498.
2014-02-04T13:46:51 - Warning: CursorFeedbackTask::Process: process: 76.594 108.026.
2014-02-04T13:46:51 - Warning: CursorFeedbackTask::Process: process: 54.9526 96.7115.
2014-02-04T13:46:51 - Warning: CursorFeedbackTask::Process: process: 56.9053 90.4956.
2014-02-04T13:46:51 - Warning: CursorFeedbackTask::Process: process: 57.4709 95.7175.
2014-02-04T13:46:51 - Warning: CursorFeedbackTask::Process: process: 57.1405 89.2739.
2014-02-04T13:46:51 - Warning: CursorFeedbackTask::Process: process: 60.3067 89.8975.
2014-02-04T13:46:51 - Warning: CursorFeedbackTask::Process: process: 70.9112 93.7826.
2014-02-04T13:46:51 - Warning: CursorFeedbackTask::Process: process: 63.6148 95.2575.
2014-02-04T13:46:51 - Warning: CursorFeedbackTask::Process: process: 60.9223 84.1409.
2014-02-04T13:46:51 - Warning: CursorFeedbackTask::Process: process: 61.4038 72.1415.
2014-02-04T13:46:52 - Warning: CursorFeedbackTask::Process: process: 58.6689 68.2452.
2014-02-04T13:46:52 - Warning: CursorFeedbackTask::Process: process: 72.9097 88.8412.
2014-02-04T13:46:52 - Warning: CursorFeedbackTask::Process: process: 72.7479 92.0683.
2014-02-04T13:46:52 - Warning: CursorFeedbackTask::Process: process: 70.9771 94.8619.
2014-02-04T13:46:52 - Warning: CursorFeedbackTask::Process: process: 79.6659 117.774.
2014-02-04T13:46:52 - Warning: CursorFeedbackTask::Process: process: 79.9602 120.859.
2014-02-04T13:46:52 - Warning: CursorFeedbackTask::Process: process: 80.1432 118.003.
2014-02-04T13:46:52 - Warning: CursorFeedbackTask::Process: process: 80.1881 124.882.
2014-02-04T13:46:52 - Warning: CursorFeedbackTask::Process: process: 78.1711 122.306.
2014-02-04T13:46:52 - Warning: CursorFeedbackTask::Process: process: 76.3742 126.683.
2014-02-04T13:46:52 - Warning: CursorFeedbackTask::Process: process: 72.4546 122.786.
2014-02-04T13:46:52 - Warning: CursorFeedbackTask::Process: process: 71.1962 111.065.
2014-02-04T13:46:52 - Warning: CursorFeedbackTask::Process: process: 79.9326 125.696.
