2014-02-04T13:08:53 - BCI2000 Started
2014-02-04T13:08:54 - Waiting for configuration ...
2014-02-04T13:09:21 - Warning: CursorFeedbackTask::Process: process: 466.06 9.63647.
2014-02-04T13:09:21 - Warning: CursorFeedbackTask::Process: process: 232.246 12.6224.
2014-02-04T13:09:21 - Warning: CursorFeedbackTask::Process: process: 341.701 12.1387.
2014-02-04T13:09:21 - Warning: CursorFeedbackTask::Process: process: 280.882 14.4013.
2014-02-04T13:09:21 - Warning: CursorFeedbackTask::Process: process: 338.36 12.2367.
2014-02-04T13:09:21 - Warning: CursorFeedbackTask::Process: process: 201.112 12.1068.
2014-02-04T13:09:21 - Warning: CursorFeedbackTask::Process: process: 891.399 18.0721.
2014-02-04T13:09:22 - Warning: CursorFeedbackTask::Process: process: 257.999 15.9482.
2014-02-04T13:09:22 - Warning: CursorFeedbackTask::Process: process: 1355.31 15.2652.
2014-02-04T13:09:22 - Warning: CursorFeedbackTask::Process: process: 227.678 14.6832.
2014-02-04T13:09:22 - Warning: CursorFeedbackTask::Process: process: 304.949 12.7459.
2014-02-04T13:09:22 - Warning: CursorFeedbackTask::Process: process: 190.774 12.048.
2014-02-04T13:09:22 - Warning: CursorFeedbackTask::Process: process: 197.744 12.4785.
2014-02-04T13:09:22 - Warning: CursorFeedbackTask::Process: process: 205.274 14.2705.
2014-02-04T13:09:22 - Warning: CursorFeedbackTask::Process: process: 303.183 15.1071.
2014-02-04T13:09:23 - Warning: CursorFeedbackTask::Process: process: 278.129 15.8779.
2014-02-04T13:09:23 - Warning: CursorFeedbackTask::Process: process: 663.112 13.3237.
2014-02-04T13:09:23 - Warning: CursorFeedbackTask::Process: process: 183.705 10.2792.
2014-02-04T13:09:23 - Warning: CursorFeedbackTask::Process: process: 156.267 9.41284.
2014-02-04T13:09:23 - Warning: CursorFeedbackTask::Process: process: 147.391 9.20354.
2014-02-04T13:09:23 - Warning: CursorFeedbackTask::Process: process: 688.584 14.0547.
2014-02-04T13:09:23 - Warning: CursorFeedbackTask::Process: process: 207.183 12.4047.
2014-02-04T13:09:23 - Warning: CursorFeedbackTask::Process: process: 182.172 10.8943.
2014-02-04T13:09:24 - Warning: CursorFeedbackTask::Process: process: 207.899 13.3933.
2014-02-04T13:09:24 - Warning: CursorFeedbackTask::Process: process: 597.907 11.3362.
2014-02-04T13:09:24 - Warning: CursorFeedbackTask::Process: process: 199.05 11.5706.
2014-02-04T13:09:24 - Warning: CursorFeedbackTask::Process: process: 1515.72 16.1641.
2014-02-04T13:09:24 - Warning: CursorFeedbackTask::Process: process: 187.283 11.2191.
2014-02-04T13:09:24 - Warning: CursorFeedbackTask::Process: process: 203.009 12.8376.
2014-02-04T13:09:24 - Warning: CursorFeedbackTask::Process: process: 188.647 11.7586.
2014-02-04T13:09:24 - Warning: CursorFeedbackTask::Process: process: 236.527 14.8033.
2014-02-04T13:09:25 - Warning: CursorFeedbackTask::Process: process: 232.428 13.8464.
2014-02-04T13:09:25 - Warning: CursorFeedbackTask::Process: process: 337.002 14.1061.
2014-02-04T13:09:25 - Warning: CursorFeedbackTask::Process: process: 267.373 16.9093.
2014-02-04T13:09:25 - Warning: CursorFeedbackTask::Process: process: 603.418 13.4874.
2014-02-04T13:09:25 - Warning: CursorFeedbackTask::Process: process: 250.242 14.7018.
2014-02-04T13:09:25 - Warning: CursorFeedbackTask::Process: process: 822.835 16.4115.
2014-02-04T13:09:25 - Warning: CursorFeedbackTask::Process: process: 232.21 13.7122.
2014-02-04T13:09:25 - Warning: CursorFeedbackTask::Process: process: 403.941 14.4603.
2014-02-04T13:09:26 - Warning: CursorFeedbackTask::Process: process: 218.997 12.0095.
2014-02-04T13:09:26 - Warning: CursorFeedbackTask::Process: process: 293.381 11.7986.
2014-02-04T13:09:26 - Warning: CursorFeedbackTask::Process: process: 264.437 14.8219.
2014-02-04T13:09:26 - Warning: CursorFeedbackTask::Process: process: 295.6 15.0378.
2014-02-04T13:09:26 - Warning: CursorFeedbackTask::Process: process: 301.596 14.7936.
2014-02-04T13:09:26 - Warning: CursorFeedbackTask::Process: process: 497.298 15.3058.
2014-02-04T13:09:26 - Warning: CursorFeedbackTask::Process: process: 271.262 14.1067.
2014-02-04T13:09:26 - Warning: CursorFeedbackTask::Process: process: 388.315 14.0553.
2014-02-04T13:09:27 - Warning: CursorFeedbackTask::Process: process: 193.12 12.5618.
2014-02-04T13:09:27 - Warning: CursorFeedbackTask::Process: process: 273.897 12.906.
2014-02-04T13:09:27 - Warning: CursorFeedbackTask::Process: process: 212.656 12.3753.
2014-02-04T13:09:27 - Warning: CursorFeedbackTask::Process: process: 1212.23 16.5714.
2014-02-04T13:09:27 - Warning: CursorFeedbackTask::Process: process: 243.673 14.5342.
2014-02-04T13:09:27 - Warning: CursorFeedbackTask::Process: process: 242.253 12.7368.
2014-02-04T13:09:27 - Warning: CursorFeedbackTask::Process: process: 213.99 13.8009.
2014-02-04T13:09:27 - Warning: CursorFeedbackTask::Process: process: 590.818 11.5762.
2014-02-04T13:09:28 - Warning: CursorFeedbackTask::Process: process: 219.186 13.7537.
2014-02-04T13:09:28 - Warning: CursorFeedbackTask::Process: process: 230.548 14.4726.
2014-02-04T13:09:28 - Warning: CursorFeedbackTask::Process: process: 214.266 12.9682.
2014-02-04T13:09:28 - Warning: CursorFeedbackTask::Process: process: 393.738 12.7449.
2014-02-04T13:09:28 - Warning: CursorFeedbackTask::Process: process: 207.861 13.7171.
2014-02-04T13:09:28 - Warning: CursorFeedbackTask::Process: process: 2290.41 10.9887.
2014-02-04T13:09:28 - Warning: CursorFeedbackTask::Process: process: 204.144 12.7372.
