X,CH1,CH2,
Second,Volt,Volt,
-3.90100e-01,-2.00e-01,-7.99e-02,
-3.90000e-01,-2.04e-01,-6.00e-02,
-3.89900e-01,-2.00e-01,-1.20e-01,
-3.89800e-01,-2.04e-01,-6.00e-02,
-3.89700e-01,-2.04e-01,-1.20e-01,
-3.89600e-01,-2.08e-01,-2.00e-02,
-3.89500e-01,-2.00e-01,-7.99e-02,
-3.89400e-01,-2.04e-01,-2.00e-02,
-3.89300e-01,-2.04e-01,-6.00e-02,
-3.89200e-01,-1.92e-01,-2.00e-02,
-3.89100e-01,-2.04e-01,-7.99e-02,
-3.89000e-01,-1.88e-01,-7.99e-02,
-3.88900e-01,-2.08e-01,-6.00e-02,
-3.88800e-01,-1.84e-01,-7.99e-02,
-3.88700e-01,-2.04e-01,-6.00e-02,
-3.88600e-01,-1.88e-01,-7.99e-02,
-3.88500e-01,-2.00e-01,-6.00e-02,
-3.88400e-01,-1.88e-01,-7.99e-02,
-3.88300e-01,-2.08e-01,-6.00e-02,
-3.88200e-01,-1.96e-01,-2.00e-02,
-3.88100e-01,-2.00e-01,-6.00e-02,
-3.88000e-01,-1.96e-01,0.00e+00,
-3.87900e-01,-1.92e-01,-7.99e-02,
-3.87800e-01,-2.00e-01,-2.00e-02,
-3.87700e-01,-1.92e-01,-1.20e-01,
-3.87600e-01,-2.08e-01,-2.00e-02,
-3.87500e-01,-1.84e-01,-1.00e-01,
-3.87400e-01,-2.04e-01,-7.99e-02,
-3.87300e-01,-1.88e-01,-1.00e-01,
-3.87200e-01,-1.92e-01,-1.60e-01,
-3.87100e-01,-1.92e-01,-1.00e-01,
-3.87000e-01,-1.92e-01,-2.40e-01,
-3.86900e-01,-2.00e-01,-7.99e-02,
-3.86800e-01,-1.88e-01,-2.80e-01,
-3.86700e-01,-1.92e-01,-2.00e-02,
-3.86600e-01,-1.92e-01,-2.80e-01,
-3.86500e-01,-2.00e-01,-2.00e-02,
-3.86400e-01,-1.96e-01,-2.00e-01,
-3.86300e-01,-2.04e-01,-7.99e-02,
-3.86200e-01,-2.04e-01,-1.00e-01,
-3.86100e-01,-2.00e-01,-1.40e-01,
-3.86000e-01,-2.00e-01,6.00e-02,
-3.85900e-01,-1.92e-01,-1.60e-01,
-3.85800e-01,-2.00e-01,1.00e-01,
-3.85700e-01,-1.92e-01,-2.00e-01,
-3.85600e-01,-1.92e-01,1.20e-01,
-3.85500e-01,-2.00e-01,-2.00e-01,
-3.85400e-01,-1.80e-01,7.99e-02,
-3.85300e-01,-2.00e-01,-1.60e-01,
-3.85200e-01,-1.80e-01,0.00e+00,
-3.85100e-01,-1.84e-01,-1.00e-01,
-3.85000e-01,-1.84e-01,-1.20e-01,
-3.84900e-01,-1.80e-01,0.00e+00,
-3.84800e-01,-1.92e-01,-1.60e-01,
-3.84700e-01,-1.80e-01,2.00e-02,
-3.84600e-01,-1.84e-01,-1.80e-01,
-3.84500e-01,-1.80e-01,0.00e+00,
-3.84400e-01,-1.92e-01,-1.40e-01,
-3.84300e-01,-1.80e-01,0.00e+00,
-3.84200e-01,-1.84e-01,-1.20e-01,
-3.84100e-01,-1.84e-01,0.00e+00,
-3.84000e-01,-1.80e-01,-1.20e-01,
-3.83900e-01,-1.76e-01,0.00e+00,
-3.83800e-01,-1.80e-01,-1.00e-01,
-3.83700e-01,-1.80e-01,-2.00e-02,
-3.83600e-01,-1.80e-01,-7.99e-02,
-3.83500e-01,-1.80e-01,-7.99e-02,
-3.83400e-01,-1.72e-01,-6.00e-02,
-3.83300e-01,-1.68e-01,-1.20e-01,
-3.83200e-01,-1.76e-01,-7.99e-02,
-3.83100e-01,-1.68e-01,-1.60e-01,
-3.83000e-01,-1.72e-01,-7.99e-02,
-3.82900e-01,-1.72e-01,-1.80e-01,
-3.82800e-01,-1.76e-01,-7.99e-02,
-3.82700e-01,-1.72e-01,-1.80e-01,
-3.82600e-01,-1.68e-01,-6.00e-02,
-3.82500e-01,-1.80e-01,-1.20e-01,
-3.82400e-01,-1.64e-01,-7.99e-02,
-3.82300e-01,-1.80e-01,-1.20e-01,
-3.82200e-01,-1.64e-01,-7.99e-02,
-3.82100e-01,-1.76e-01,-6.00e-02,
-3.82000e-01,-1.60e-01,-1.00e-01,
-3.81900e-01,-1.72e-01,-2.00e-02,
-3.81800e-01,-1.64e-01,-1.00e-01,
-3.81700e-01,-1.72e-01,-2.00e-02,
-3.81600e-01,-1.64e-01,-7.99e-02,
-3.81500e-01,-1.56e-01,-2.00e-02,
-3.81400e-01,-1.60e-01,-1.20e-01,
-3.81300e-01,-1.48e-01,-6.00e-02,
-3.81200e-01,-1.56e-01,-1.00e-01,
-3.81100e-01,-1.48e-01,-7.99e-02,
